region_index,region_name,hemisphere,source_vertices,represented_area_m2,mean_vertex_field_norm,regional_field_norm,signed_field_retention
147,7Networks_RH_SalVentAttn_TempOccPar_1,rh,81,2.3564378911034686e-05,263.5457437364458,201.473317625268,0.7644719082496274
148,7Networks_RH_SalVentAttn_TempOccPar_2,rh,75,1.9510504205387353e-05,303.31723431109305,288.03468448578263,0.9496152935060852
149,7Networks_RH_SalVentAttn_TempOccPar_3,rh,160,4.832688428485714e-05,297.73239682651706,122.17127757209953,0.4103392135834193
150,7Networks_RH_SalVentAttn_PrC_1,rh,55,2.2775268125052676e-05,333.36057117449883,275.53768499166995,0.8265455150286466
151,7Networks_RH_SalVentAttn_FrOperIns_1,rh,76,3.1853227469688486e-05,222.49242098867057,117.36108249733479,0.5274835069699335
152,7Networks_RH_SalVentAttn_FrOperIns_2,rh,120,4.9984453997366706e-05,254.60756156415115,118.28981328571741,0.4645966229715177
153,7Networks_RH_SalVentAttn_FrOperIns_3,rh,75,2.8076155453996735e-05,253.92492782577716,130.50500543756166,0.5139511372711847
154,7Networks_RH_SalVentAttn_FrOperIns_4,rh,164,6.390356889369154e-05,242.49665342510613,80.68895097892403,0.33274253413086546
155,7Networks_RH_SalVentAttn_Med_1,rh,99,3.3302593192313494e-05,244.32037364152336,176.23785146571032,0.7213391533376319
156,7Networks_RH_SalVentAttn_Med_2,rh,141,4.976206380739802e-05,250.19963441698184,110.87629908092549,0.4431513232994555
157,7Networks_RH_SalVentAttn_Med_3,rh,102,3.840142733828042e-05,274.6320150858561,160.22165557737551,0.5834048718875207
158,7Networks_RH_Limbic_OFC_1,rh,140,6.96720859435097e-05,173.20748567653365,51.65630589549689,0.29823368022306757
159,7Networks_RH_Limbic_OFC_2,rh,106,4.368946639453783e-05,217.64561554529192,73.32985871699587,0.3369232067150738
160,7Networks_RH_Limbic_OFC_3,rh,80,4.8750797546832036e-05,276.97086130830286,161.82180878455915,0.5842557156380124
161,7Networks_RH_Limbic_TempPole_1,rh,117,5.356503840783396e-05,173.22859574694513,73.46911753452152,0.42411656815509996
162,7Networks_RH_Limbic_TempPole_2,rh,112,6.4250253822591e-05,205.6593336671742,90.22915743983407,0.43873115715649996
163,7Networks_RH_Limbic_TempPole_3,rh,91,3.7941735674682687e-05,173.7809421325597,69.95770139558611,0.40256256259804685
164,7Networks_RH_Cont_Par_1,rh,70,2.0859453673239395e-05,309.0512113392445,244.287268314214,0.7904426818313314
165,7Networks_RH_Cont_Par_2,rh,61,1.3481228560561806e-05,288.742266236829,202.93278393639696,0.7028163440746485
166,7Networks_RH_Cont_Par_3,rh,99,2.6120535165751138e-05,282.93921264536164,155.21257383946042,0.5485721557937787
167,7Networks_RH_Cont_Temp_1,rh,80,3.1593857149129114e-05,267.1729480968709,211.17538077990403,0.7904070463875578
168,7Networks_RH_Cont_PFCv_1,rh,48,1.9170306002224622e-05,256.6886329931824,133.15136365217552,0.5187271524240499
169,7Networks_RH_Cont_PFCl_1,rh,107,5.7702252961060814e-05,233.35522687160474,105.17735224532258,0.450717790449119
170,7Networks_RH_Cont_PFCl_2,rh,77,3.52694875887888e-05,303.51964060903003,235.13501997040828,0.7746945782440834
171,7Networks_RH_Cont_PFCl_3,rh,98,3.915989292141033e-05,310.58056300045274,249.4360231927244,0.8031282472508133
172,7Networks_RH_Cont_PFCl_4,rh,128,4.5767495751243954e-05,291.4645602409396,165.46387183255092,0.5676980820439026
173,7Networks_RH_Cont_PFCl_5,rh,108,4.174368668213438e-05,286.8389523254067,202.39094344819415,0.7055908613785138
174,7Networks_RH_Cont_PFCl_6,rh,54,1.5437404087327525e-05,335.07310425218736,298.21391188512774,0.8899965652291861
175,7Networks_RH_Cont_PFCl_7,rh,96,3.5448290974429464e-05,309.29656485038095,223.82623629618095,0.7236622120405851
176,7Networks_RH_Cont_pCun_1,rh,65,2.350294751506492e-05,289.1547282192859,218.93645042110361,0.7571601950602345
177,7Networks_RH_Cont_Cing_1,rh,82,3.40914185498735e-05,213.49298962482058,132.5649863343511,0.6209336735942133
178,7Networks_RH_Cont_Cing_2,rh,53,2.1776309952411976e-05,217.2121054316274,145.55551927869652,0.6701077685769844
179,7Networks_RH_Cont_PFCmp_1,rh,92,3.7185520066377316e-05,255.45594016676787,162.38794911224292,0.635678892439268
180,7Networks_RH_Cont_PFCmp_2,rh,101,4.2260864601857325e-05,281.97747878520005,164.69717422148497,0.5840791787025841
181,7Networks_RH_Default_Par_1,rh,76,3.097909667634888e-05,303.42866540512904,194.52710915098737,0.6410966771753766
182,7Networks_RH_Default_Par_2,rh,121,3.167562726333185e-05,296.5503448280222,178.73280195932801,0.6027064377988841
183,7Networks_RH_Default_Par_3,rh,76,2.2762573389379264e-05,324.4500522874054,251.63822492686342,0.775583863071646
184,7Networks_RH_Default_Temp_1,rh,104,5.268426345547276e-05,192.742962720267,88.52025937649934,0.4592658436249688
