region_index,region_name,hemisphere,source_vertices,represented_area_m2
87,7Networks_LH_Default_PFC_6,lh,69,3.098709467587718e-05
88,7Networks_LH_Default_PFC_7,lh,108,5.429992277046799e-05
89,7Networks_LH_Default_PFC_8,lh,80,3.746395997133821e-05
90,7Networks_LH_Default_PFC_9,lh,90,4.130018870069298e-05
91,7Networks_LH_Default_PFC_10,lh,68,3.528493264022544e-05
92,7Networks_LH_Default_PFC_11,lh,68,2.7935821794972973e-05
93,7Networks_LH_Default_PFC_12,lh,135,6.0467600509282676e-05
94,7Networks_LH_Default_PFC_13,lh,82,3.8264221058809284e-05
95,7Networks_LH_Default_pCunPCC_1,lh,113,4.086686741194805e-05
96,7Networks_LH_Default_pCunPCC_2,lh,115,4.542403137236222e-05
97,7Networks_LH_Default_pCunPCC_3,lh,60,2.118943167486479e-05
98,7Networks_LH_Default_pCunPCC_4,lh,85,2.8274936753842556e-05
99,7Networks_LH_Default_PHC_1,lh,130,5.502737900644705e-05
100,7Networks_RH_Vis_1,rh,96,3.89286923878203e-05
101,7Networks_RH_Vis_2,rh,110,5.410875006069842e-05
102,7Networks_RH_Vis_3,rh,139,6.38005147827094e-05
103,7Networks_RH_Vis_4,rh,70,4.007614917942704e-05
104,7Networks_RH_Vis_5,rh,72,3.055001994204621e-05
105,7Networks_RH_Vis_6,rh,120,5.8867119825810506e-05
106,7Networks_RH_Vis_7,rh,76,2.853560215968581e-05
107,7Networks_RH_Vis_8,rh,129,6.129853867255003e-05
108,7Networks_RH_Vis_9,rh,99,5.503578389797732e-05
109,7Networks_RH_Vis_10,rh,73,3.0387154816536255e-05
110,7Networks_RH_Vis_11,rh,69,2.9637511152209905e-05
111,7Networks_RH_Vis_12,rh,118,5.37243490588738e-05
112,7Networks_RH_Vis_13,rh,76,4.446647164565791e-05
113,7Networks_RH_Vis_14,rh,56,2.7299096004669584e-05
114,7Networks_RH_Vis_15,rh,97,4.891121751912927e-05
115,7Networks_RH_SomMot_1,rh,105,4.133036495161703e-05
116,7Networks_RH_SomMot_2,rh,79,2.8556197279362204e-05
117,7Networks_RH_SomMot_3,rh,113,3.9251532749325084e-05
118,7Networks_RH_SomMot_4,rh,85,3.0119479058179723e-05
119,7Networks_RH_SomMot_5,rh,54,1.7371596582694494e-05
120,7Networks_RH_SomMot_6,rh,63,2.0329071475864837e-05
121,7Networks_RH_SomMot_7,rh,179,7.284473235554751e-05
122,7Networks_RH_SomMot_8,rh,45,1.4772242414586926e-05
123,7Networks_RH_SomMot_9,rh,88,3.185050954222213e-05
124,7Networks_RH_SomMot_10,rh,83,3.525772386556793e-05
125,7Networks_RH_SomMot_11,rh,59,2.1352237550206985e-05
126,7Networks_RH_SomMot_12,rh,81,3.643264914051431e-05
127,7Networks_RH_SomMot_13,rh,55,1.4478686635631665e-05
128,7Networks_RH_SomMot_14,rh,113,4.6743095766059975e-05
129,7Networks_RH_SomMot_15,rh,78,2.6419567312290714e-05
130,7Networks_RH_SomMot_16,rh,109,4.308066854954799e-05
131,7Networks_RH_SomMot_17,rh,85,2.979315939219877e-05
132,7Networks_RH_SomMot_18,rh,142,5.304598435365336e-05
133,7Networks_RH_SomMot_19,rh,63,2.6209712115333565e-05
134,7Networks_RH_DorsAttn_Post_1,rh,124,4.82217506348256e-05
135,7Networks_RH_DorsAttn_Post_2,rh,115,3.7462818932845326e-05
136,7Networks_RH_DorsAttn_Post_3,rh,83,2.141171735651012e-05
137,7Networks_RH_DorsAttn_Post_4,rh,83,1.9802860978154237e-05
138,7Networks_RH_DorsAttn_Post_5,rh,101,2.5671356732273833e-05
139,7Networks_RH_DorsAttn_Post_6,rh,56,1.568674374163952e-05
140,7Networks_RH_DorsAttn_Post_7,rh,70,1.6708106657205583e-05
141,7Networks_RH_DorsAttn_Post_8,rh,114,3.237794859592696e-05
142,7Networks_RH_DorsAttn_Post_9,rh,94,2.1996742376738856e-05
143,7Networks_RH_DorsAttn_Post_10,rh,94,2.9614723971103558e-05
144,7Networks_RH_DorsAttn_FEF_1,rh,88,3.5312782769076164e-05
145,7Networks_RH_DorsAttn_FEF_2,rh,75,2.675346235777577e-05
146,7Networks_RH_DorsAttn_PrCv_1,rh,123,5.111660607997752e-05
147,7Networks_RH_SalVentAttn_TempOccPar_1,rh,81,2.3564378911034686e-05
148,7Networks_RH_SalVentAttn_TempOccPar_2,rh,75,1.9510504205387353e-05
149,7Networks_RH_SalVentAttn_TempOccPar_3,rh,160,4.832688428485714e-05
150,7Networks_RH_SalVentAttn_PrC_1,rh,55,2.2775268125052676e-05
151,7Networks_RH_SalVentAttn_FrOperIns_1,rh,76,3.1853227469688486e-05
152,7Networks_RH_SalVentAttn_FrOperIns_2,rh,120,4.9984453997366706e-05
153,7Networks_RH_SalVentAttn_FrOperIns_3,rh,75,2.8076155453996735e-05
154,7Networks_RH_SalVentAttn_FrOperIns_4,rh,164,6.390356889369154e-05
155,7Networks_RH_SalVentAttn_Med_1,rh,99,3.3302593192313494e-05
156,7Networks_RH_SalVentAttn_Med_2,rh,141,4.976206380739802e-05
157,7Networks_RH_SalVentAttn_Med_3,rh,102,3.840142733828042e-05
158,7Networks_RH_Limbic_OFC_1,rh,140,6.96720859435097e-05
159,7Networks_RH_Limbic_OFC_2,rh,106,4.368946639453783e-05
160,7Networks_RH_Limbic_OFC_3,rh,80,4.8750797546832036e-05
161,7Networks_RH_Limbic_TempPole_1,rh,117,5.356503840783396e-05
162,7Networks_RH_Limbic_TempPole_2,rh,112,6.4250253822591e-05
163,7Networks_RH_Limbic_TempPole_3,rh,91,3.7941735674682687e-05
164,7Networks_RH_Cont_Par_1,rh,70,2.0859453673239395e-05
165,7Networks_RH_Cont_Par_2,rh,61,1.3481228560561806e-05
166,7Networks_RH_Cont_Par_3,rh,99,2.6120535165751138e-05
167,7Networks_RH_Cont_Temp_1,rh,80,3.1593857149129114e-05
168,7Networks_RH_Cont_PFCv_1,rh,48,1.9170306002224622e-05
169,7Networks_RH_Cont_PFCl_1,rh,107,5.7702252961060814e-05
170,7Networks_RH_Cont_PFCl_2,rh,77,3.52694875887888e-05
171,7Networks_RH_Cont_PFCl_3,rh,98,3.915989292141033e-05
172,7Networks_RH_Cont_PFCl_4,rh,128,4.5767495751243954e-05
173,7Networks_RH_Cont_PFCl_5,rh,108,4.174368668213438e-05
174,7Networks_RH_Cont_PFCl_6,rh,54,1.5437404087327525e-05
175,7Networks_RH_Cont_PFCl_7,rh,96,3.5448290974429464e-05
176,7Networks_RH_Cont_pCun_1,rh,65,2.350294751506492e-05
177,7Networks_RH_Cont_Cing_1,rh,82,3.40914185498735e-05
178,7Networks_RH_Cont_Cing_2,rh,53,2.1776309952411976e-05
179,7Networks_RH_Cont_PFCmp_1,rh,92,3.7185520066377316e-05
180,7Networks_RH_Cont_PFCmp_2,rh,101,4.2260864601857325e-05
181,7Networks_RH_Default_Par_1,rh,76,3.097909667634888e-05
182,7Networks_RH_Default_Par_2,rh,121,3.167562726333185e-05
183,7Networks_RH_Default_Par_3,rh,76,2.2762573389379264e-05
184,7Networks_RH_Default_Temp_1,rh,104,5.268426345547276e-05
185,7Networks_RH_Default_Temp_2,rh,109,5.352721505376363e-05
186,7Networks_RH_Default_Temp_3,rh,117,5.51786825716381e-05
187,7Networks_RH_Default_Temp_4,rh,61,2.6824910649420356e-05
188,7Networks_RH_Default_Temp_5,rh,84,2.8231362382724097e-05
189,7Networks_RH_Default_PFCv_1,rh,114,4.487062300947673e-05
190,7Networks_RH_Default_PFCdPFCm_1,rh,134,6.310697197829993e-05
191,7Networks_RH_Default_PFCdPFCm_2,rh,74,3.5448605681522775e-05
192,7Networks_RH_Default_PFCdPFCm_3,rh,23,1.0488542496589551e-05
193,7Networks_RH_Default_PFCdPFCm_4,rh,144,7.221357152120485e-05
194,7Networks_RH_Default_PFCdPFCm_5,rh,108,4.989163915416171e-05
195,7Networks_RH_Default_PFCdPFCm_6,rh,86,2.758007462050885e-05
196,7Networks_RH_Default_PFCdPFCm_7,rh,50,1.9818900529487835e-05
197,7Networks_RH_Default_pCunPCC_1,rh,96,3.679413230951769e-05
198,7Networks_RH_Default_pCunPCC_2,rh,182,6.310829960862475e-05
199,7Networks_RH_Default_pCunPCC_3,rh,98,2.4716905831386078e-05
